Gene name,Chromosome,Orientation,Left ORF border,Right ORF border,Left txn border,Right txn border,ORF length,Left UTR,Right UTR
SPAC1142.04 ,chromosome1,+,3631536,3633659,3631536,3633806,2123,0,147
SPAC1142.05,chromosome1,+,3635765,3636286,3635409,3636391,521,356,105
SPAC1142.06 ,chromosome1,+,3637102,3638091,3637054,3638378,989,48,287
SPAC1142.07c,chromosome1,-,3638771,3639560,3638649,3639642,789,122,82
SPAC1142.08,chromosome1,+,3639988,3642219,3639860,3642338,2231,128,119
SPAC1142.09,chromosome1,+,3642498,3642845,NA,NA,347,NA,NA
SPAC11D3.01c,chromosome1,-,108908,109147,NA,NA,239,NA,NA
SPAC11D3.02c,chromosome1,-,109829,110281,NA,110455,452,NA,174
SPAC11D3.03c,chromosome1,-,111005,111913,NA,NA,908,NA,NA
SPAC11D3.04c,chromosome1,-,112917,113309,112709,113309,392,208,0
SPAC11D3.05 ,chromosome1,+,114080,115720,114026,115842,1640,54,122
SPAC11D3.06 ,chromosome1,+,116693,118060,116392,118152,1367,301,92
SPAC11D3.07c ,chromosome1,-,118195,120108,NA,NA,1913,NA,NA
SPAC11D3.08c ,chromosome1,-,120556,122208,120556,123705,1652,0,1497
SPAC11D3.09 ,chromosome1,+,122845,124029,NA,NA,1184,NA,NA
SPAC11D3.10 ,chromosome1,+,125582,126886,NA,NA,1304,NA,NA
SPAC11D3.11c,chromosome1,-,127165,129185,126951,129316,2020,214,131
SPAC11D3.13,chromosome1,+,130329,130997,130251,131076,668,78,79
SPAC11D3.14c,chromosome1,-,131319,135101,131241,135695,3782,78,594
SPAC11D3.15,chromosome1,+,136331,140284,136191,140284,3953,140,0
SPAC11D3.16c,chromosome1,-,140805,141200,140535,141580,395,270,380
SPAC11D3.17,chromosome1,+,142675,144432,NA,NA,1757,NA,NA
SPAC11D3.18c ,chromosome1,-,144862,146358,NA,NA,1496,NA,NA
SPAC11E3.01c ,chromosome1,-,5277498,5281364,5277489,5281390,3866,9,26
SPAC11E3.02c ,chromosome1,-,5281940,5285699,5281940,5285792,3759,0,93
SPAC11E3.03,chromosome1,+,5286289,5287055,5286117,5287169,766,172,114
SPAC11E3.04c,chromosome1,-,5287384,5288081,5287330,5288102,697,54,21
SPAC11E3.05,chromosome1,+,5288392,5292363,5288265,5292446,3971,127,83
SPAC11E3.06,chromosome1,+,5292795,5294344,NA,NA,1549,NA,NA
SPAC11E3.07 ,chromosome1,+,5295021,5295704,5294976,5296130,683,45,426
SPAC11E3.08c,chromosome1,-,5296165,5297733,5296130,5297733,1568,35,0
SPAC11E3.09,chromosome1,+,5298838,5299854,5298771,5300086,1016,67,232
SPAC11E3.10,chromosome1,+,5300782,5301642,5300696,5301901,860,86,259
SPAC11E3.11c ,chromosome1,-,5302569,5305397,5302349,5305648,2828,220,251
SPAC11E3.12,chromosome1,+,5305838,5306434,5305699,NA,596,139,NA
SPAC11E3.13c ,chromosome1,-,5307065,5308597,5306855,5309051,1532,210,454
SPAC11E3.14,chromosome1,+,5312420,5314186,5311529,5314226,1766,891,40
SPAC11E3.15 ,chromosome1,+,5314862,5315317,5314828,5315379,455,34,62
SPAC11G7.01,chromosome1,+,3959898,3961508,3959792,3962875,1610,106,1367
SPAC11G7.02,chromosome1,+,3963323,3965870,3963092,3966119,2547,231,249
SPAC11G7.03,chromosome1,+,3966835,3967905,3966775,3968156,1070,60,251
SPAC11G7.04 ,chromosome1,+,3969009,3969395,3969009,3969527,386,0,132
SPAC11G7.05c ,chromosome1,-,3969833,3970789,NA,NA,956,NA,NA
SPAC11G7.06c,chromosome1,-,3971942,3973234,NA,NA,1292,NA,NA
SPAC11H11.01,chromosome1,+,4775838,4777340,4775723,4777368,1502,115,28
SPAC11H11.02c,chromosome1,-,4777439,4778429,NA,4778521,990,NA,92
SPAC11H11.03c,chromosome1,-,4779181,4780249,4779020,4780284,1068,161,35
SPAC11H11.04,chromosome1,+,4780688,4781734,NA,NA,1046,NA,NA
SPAC11H11.05c,chromosome1,-,4782047,4782273,NA,NA,226,NA,NA
SPAC11H11.06,chromosome1,+,4783055,4784277,4783037,4784682,1222,18,405
SPAC1250.01,chromosome1,-,5100376,5104016,5100217,5104180,3640,159,164
SPAC1250.02,chromosome1,-,5099365,5099986,NA,NA,621,NA,NA
SPAC1250.03 ,chromosome1,-,5098187,5098816,5097690,5098816,629,497,0
SPAC1250.04c,chromosome1,+,5097113,5097439,5096867,5097580,326,246,141
SPAC1250.05 ,chromosome1,-,5095211,5095810,5095162,5095875,599,49,65
SPAC1250.07 ,chromosome1,-,5097850,5098212,NA,NA,362,NA,NA
SPAC1296.01c ,chromosome1,-,708055,710023,707970,710228,1968,85,205
SPAC1296.02 ,chromosome1,+,711301,712150,711215,712208,849,86,58
SPAC1296.03c,chromosome1,-,712491,714014,NA,NA,1523,NA,NA
SPAC1296.04 ,chromosome1,+,715480,716621,715480,716827,1141,0,206
SPAC1296.05c ,chromosome1,-,716940,717804,716940,717871,864,0,67
SPAC1296.06,chromosome1,+,719447,721410,719411,721410,1963,36,0
SPAC12B10.01c ,chromosome1,-,4570498,4575441,4570458,4575630,4943,40,189
SPAC12B10.02c,chromosome1,-,4576228,4576935,4576228,4577006,707,0,71
SPAC12B10.03,chromosome1,+,4578627,4580258,4578323,4580633,1631,304,375
SPAC12B10.04 ,chromosome1,+,4580824,4582145,4580800,4582176,1321,24,31
SPAC12B10.05 ,chromosome1,+,4582378,4584333,4582378,4584375,1955,0,42
SPAC12B10.06c,chromosome1,-,4584550,4585025,4584536,4585199,475,14,174
SPAC12B10.07,chromosome1,+,4585255,4586135,4585255,4586351,880,0,216
SPAC12B10.08c ,chromosome1,-,4586584,4588058,NA,NA,1474,NA,NA
SPAC12B10.09 ,chromosome1,+,4588250,4589574,NA,4589707,1324,NA,133
SPAC12B10.10,chromosome1,+,4590265,4591524,4590152,NA,1259,113,NA
SPAC12B10.11 ,chromosome1,+,4591855,4593567,NA,4593567,1712,NA,0
SPAC12B10.12c,chromosome1,-,4593873,4595789,4593781,4596086,1916,92,297
SPAC12B10.13,chromosome1,+,4596439,4597269,4596364,4597356,830,75,87
SPAC12B10.14c,chromosome1,-,4597567,4599622,4597466,NA,2055,101,NA
SPAC12B10.15c ,chromosome1,-,4600263,4600706,NA,4600817,443,NA,111
SPAC12B10.16c,chromosome1,-,4601527,4603221,4601425,4603346,1694,102,125
SPAC12G12.01c,chromosome1,+,347195,349912,346786,350031,2717,409,119
SPAC12G12.02 ,chromosome1,-,345839,346618,345576,346676,779,263,58
SPAC12G12.03,chromosome1,-,343399,345129,NA,345137,1730,NA,8
SPAC12G12.04,chromosome1,-,340107,341855,339470,342056,1748,637,201
SPAC12G12.05c ,chromosome1,+,338392,338883,338315,NA,491,77,NA
SPAC12G12.06c ,chromosome1,+,336428,337519,336335,338041,1091,93,522
SPAC12G12.07c,chromosome1,+,334660,335945,334631,336060,1285,29,115
SPAC12G12.08 ,chromosome1,-,333695,334336,333312,334521,641,383,185
SPAC12G12.09,chromosome1,-,329810,332743,NA,332816,2933,NA,73
SPAC12G12.10,chromosome1,-,328222,329484,328196,NA,1262,26,NA
SPAC12G12.11c,chromosome1,+,326694,327982,326602,328087,1288,92,105
SPAC12G12.12 ,chromosome1,-,324194,325280,324126,325447,1086,68,167
SPAC12G12.13c,chromosome1,+,321924,323978,NA,324016,2054,NA,38
SPAC12G12.14c,chromosome1,+,319974,321503,319836,NA,1529,138,NA
SPAC12G12.15 ,chromosome1,-,317310,318941,317030,318955,1631,280,14
SPAC12G12.16c ,chromosome1,+,315707,317197,315655,317472,1490,52,275
SPAC12G12.17 ,chromosome1,+,333214,333441,NA,NA,227,NA,NA
SPAC1327.01c ,chromosome1,-,2205162,2208095,2205162,2208207,2933,0,112
SPAC139.01c ,chromosome1,-,1016366,1018875,1016027,1019050,2509,339,175
SPAC139.02c ,chromosome1,-,1019612,1020574,1019328,1020646,962,284,72
SPAC139.03 ,chromosome1,+,1021917,1023874,1021690,1024112,1957,227,238
SPAC139.04c,chromosome1,-,1024176,1025477,1024168,1025761,1301,8,284
SPAC139.05 ,chromosome1,+,1028316,1029797,NA,1029887,1481,NA,90
SPAC139.06,chromosome1,+,1030230,1031693,1030215,1031921,1463,15,228
SPAC1399.01c ,chromosome1,+,1852627,1854432,NA,NA,1805,NA,NA
SPAC1399.02 ,chromosome1,-,1846121,1847890,1845648,1848341,1769,473,451
SPAC1399.03,chromosome1,-,1841936,1843681,1841908,1843995,1745,28,314
SPAC1399.04c ,chromosome1,+,1840621,1841283,NA,NA,662,NA,NA
SPAC1399.05c ,chromosome1,+,1838587,1840293,1838497,NA,1706,90,NA
SPAC13A11.01c,chromosome1,-,571994,574371,571902,574371,2377,92,0
SPAC13A11.02c,chromosome1,-,575135,576622,574760,577181,1487,375,559
SPAC13A11.03,chromosome1,+,578521,579247,578445,579658,726,76,411
SPAC13A11.04c ,chromosome1,-,579720,581390,579435,581417,1670,285,27
SPAC13A11.05,chromosome1,+,582492,584033,582295,584276,1541,197,243
SPAC13A11.06 ,chromosome1,+,585597,587312,NA,NA,1715,NA,NA
SPAC13C5.01c ,chromosome1,-,424477,425223,424006,425223,746,471,0
SPAC13C5.02,chromosome1,+,426030,427342,425986,427342,1312,44,0
SPAC13C5.03,chromosome1,+,427583,429318,NA,NA,1735,NA,NA
SPAC13C5.04,chromosome1,+,430130,430876,430057,430991,746,73,115
SPAC13C5.05c ,chromosome1,-,431562,433203,431430,433203,1641,132,0
SPAC13C5.06c,chromosome1,-,434524,435101,434238,435996,577,286,895
SPAC13C5.07,chromosome1,+,436214,438369,436214,NA,2155,0,NA
SPAC13D1.01c,chromosome1,-,5191144,5195145,NA,NA,4001,NA,NA
SPAC13D6.01,chromosome1,+,2245786,2247081,NA,NA,1295,NA,NA
SPAC13D6.02c,chromosome1,-,2247943,2248482,2247201,2248482,539,742,0
SPAC13D6.03c ,chromosome1,-,2250372,2251107,2250008,2251161,735,364,54
SPAC13D6.04c,chromosome1,-,2251500,2253189,2251491,2253362,1689,9,173
SPAC13D6.05,chromosome1,+,2253468,2254172,2253416,2254296,704,52,124
SPAC13F5.01c ,chromosome1,-,2169185,2172095,2169185,2172127,2910,0,32
SPAC13F5.02c,chromosome1,-,2172530,2173752,2172457,2173777,1222,73,25
SPAC13F5.03c,chromosome1,-,2175008,2176360,2174878,NA,1352,130,NA
SPAC13F5.04c ,chromosome1,-,2177582,2178505,NA,NA,923,NA,NA
SPAC13F5.05 ,chromosome1,+,2180072,2181163,2179936,2181257,1091,136,94
SPAC13F5.06c ,chromosome1,-,2181567,2184376,2181533,2184448,2809,34,72
SPAC13F5.07c,chromosome1,-,2184865,2185182,NA,NA,317,NA,NA
SPAC13G6.01c,chromosome1,-,170972,174373,170732,174635,3401,240,262
SPAC13G6.02c,chromosome1,-,175013,175771,174967,175792,758,46,21
SPAC13G6.03 ,chromosome1,+,177292,179568,177001,179970,2276,291,402
SPAC13G6.04 ,chromosome1,+,180423,180911,NA,NA,488,NA,NA
SPAC13G6.05c ,chromosome1,-,181077,182170,181015,182226,1093,62,56
SPAC13G6.06c ,chromosome1,-,182976,186029,182500,186242,3053,476,213
SPAC13G6.07c,chromosome1,-,186844,187563,186790,187563,719,54,0
SPAC13G6.08,chromosome1,+,188377,189984,NA,NA,1607,NA,NA
SPAC13G6.09,chromosome1,+,190322,191291,190258,194052,969,64,2761
SPAC13G6.10c,chromosome1,-,192296,193888,192296,194075,1592,0,187
SPAC13G6.11c ,chromosome1,-,194119,195582,NA,195702,1463,NA,120
SPAC13G6.12c,chromosome1,-,196090,198715,NA,NA,2625,NA,NA
SPAC13G6.13,chromosome1,+,198884,199231,NA,NA,347,NA,NA
SPAC13G6.14,chromosome1,+,200235,200867,200046,201255,632,189,388
SPAC13G6.15c ,chromosome1,-,202487,202978,201971,203236,491,516,258
SPAC13G7.01c ,chromosome1,-,2292801,2295116,2292742,2295270,2315,59,154
SPAC13G7.02c ,chromosome1,-,2295819,2297753,2295601,2297965,1934,218,212
SPAC13G7.03 ,chromosome1,+,2298979,2299924,2298902,2300000,945,77,76
SPAC13G7.04c,chromosome1,-,2300522,2302792,2300331,2303356,2270,191,564
SPAC13G7.05 ,chromosome1,+,2305345,2306958,2305172,2307263,1613,173,305
SPAC13G7.06,chromosome1,+,2307729,2308529,2307538,2308745,800,191,216
SPAC13G7.07,chromosome1,+,2309026,2309958,NA,NA,932,NA,NA
SPAC13G7.08c,chromosome1,-,2310386,2311891,2310288,2311891,1505,98,0
SPAC13G7.09c,chromosome1,-,2312618,2313025,2312375,2313090,407,243,65
SPAC13G7.10,chromosome1,+,2313746,2315063,2313641,NA,1317,105,NA
SPAC13G7.11,chromosome1,+,2315187,2316133,NA,2316282,946,NA,149
SPAC13G7.12c ,chromosome1,-,2316467,2317837,2315567,2318315,1370,900,478
SPAC13G7.13c,chromosome1,-,2318638,2320239,NA,NA,1601,NA,NA
SPAC140.01 ,chromosome1,+,1895533,1896291,1895420,1896631,758,113,340
SPAC140.02,chromosome1,+,1897523,1899025,1897513,1899436,1502,10,411
SPAC140.03,chromosome1,+,1900052,1901431,1899932,1901431,1379,120,0
SPAC140.04,chromosome1,+,1902319,1903206,NA,NA,887,NA,NA
SPAC1420.01c,chromosome1,-,1260973,1262760,1260335,1263306,1787,638,546
SPAC1420.02c ,chromosome1,-,1263902,1265542,1263803,1265727,1640,99,185
SPAC1420.03,chromosome1,+,1266269,1267647,1266232,1267771,1378,37,124
SPAC1420.04c ,chromosome1,-,1267905,1270166,NA,1270260,2261,NA,94
SPAC144.01,chromosome1,-,4650666,4651062,4650596,4651091,396,70,29
SPAC144.02 ,chromosome1,+,4653093,4653842,4653068,4654387,749,25,545
SPAC144.03,chromosome1,+,4654684,4656410,4654666,4656425,1726,18,15
SPAC144.04c ,chromosome1,-,4656720,4658018,4656589,4658348,1298,131,330
SPAC144.05 ,chromosome1,+,4659256,4663543,4659230,4663739,4287,26,196
SPAC144.06 ,chromosome1,+,4664387,4666982,4664351,4668366,2595,36,1384
SPAC144.07c,chromosome1,-,4667394,4668341,4667264,4668748,947,130,407
SPAC144.08 ,chromosome1,+,4668874,4669551,4668874,NA,677,0,NA
SPAC144.09c,chromosome1,-,4669888,4671055,4669845,4671278,1167,43,223
SPAC144.10c,chromosome1,-,4671564,4672943,4671550,4673034,1379,14,91
SPAC144.11 ,chromosome1,+,4674612,4675070,4674575,4675126,458,37,56
SPAC144.12 ,chromosome1,+,4676624,4677448,4675839,4678094,824,785,646
SPAC144.13c,chromosome1,-,4678386,4680056,NA,4680182,1670,NA,126
SPAC144.14,chromosome1,+,4681626,4683213,4681284,4683213,1587,342,0
SPAC144.15c ,chromosome1,-,4683276,4685381,4681614,4685626,2105,1662,245
SPAC144.16,chromosome1,+,4686562,4687101,4686513,4687277,539,49,176
SPAC144.17c ,chromosome1,-,4687388,4688831,NA,NA,1443,NA,NA
SPAC144.18 ,chromosome1,+,4690170,4691207,4690144,4691628,1037,26,421
SPAC1486.02c ,chromosome1,-,3186754,3188067,NA,3188086,1313,NA,19
SPAC1486.03c ,chromosome1,-,3188398,3190791,3188360,3190791,2393,38,0
SPAC1486.04c,chromosome1,-,3191532,3196715,3191447,3196838,5183,85,123
SPAC1486.05,chromosome1,+,3197028,3202450,3196998,3202559,5422,30,109
SPAC1486.06 ,chromosome1,+,3204361,3205593,3204094,3205796,1232,267,203
SPAC1486.07c ,chromosome1,-,3206100,3206534,3206023,3206534,434,77,0
SPAC1486.08 ,chromosome1,+,3207520,3207980,3207451,3208106,460,69,126
SPAC1486.09 ,chromosome1,+,3209901,3211282,3209901,3211407,1381,0,125
SPAC1486.10,chromosome1,+,3211979,3214306,3211850,3214432,2327,129,126
SPAC14C4.01c,chromosome1,-,5225237,5225971,NA,NA,734,NA,NA
SPAC14C4.02c,chromosome1,-,5226406,5229652,5226278,5229747,3246,128,95
SPAC14C4.03,chromosome1,+,5231140,5232566,NA,NA,1426,NA,NA
SPAC14C4.04,chromosome1,+,5234293,5235096,5234088,5235521,803,205,425
SPAC14C4.05c ,chromosome1,-,5235784,5238318,5235682,NA,2534,102,NA
SPAC14C4.06c ,chromosome1,-,5238805,5239817,NA,5240194,1012,NA,377
SPAC14C4.07 ,chromosome1,+,5240792,5242726,5240466,5242891,1934,326,165
SPAC14C4.08,chromosome1,+,5243071,5243610,NA,NA,539,NA,NA
SPAC14C4.09,chromosome1,+,5244207,5245481,5244045,5245860,1274,162,379
SPAC14C4.10c,chromosome1,-,5246039,5247090,NA,NA,1051,NA,NA
SPAC14C4.11 ,chromosome1,+,5247756,5250167,5247730,5250537,2411,26,370
SPAC14C4.12c ,chromosome1,-,5251141,5252034,5250647,5252241,893,494,207
SPAC14C4.13,chromosome1,+,5253358,5255278,5253229,5255867,1920,129,589
SPAC14C4.14,chromosome1,+,5256781,5258829,5256747,5259282,2048,34,453
SPAC14C4.15c ,chromosome1,-,5259148,5261753,5259148,5261759,2605,0,6
SPAC14C4.16,chromosome1,+,5229826,5230123,5229798,5230900,297,28,777
SPAC1527.01,chromosome1,+,4375499,4382692,4374384,4382741,7193,1115,49
SPAC1527.02 ,chromosome1,+,4383203,4384017,4383186,4384179,814,17,162
SPAC1527.03 ,chromosome1,+,4384659,4386086,4384394,4386371,1427,265,285
SPAC1556.01c,chromosome1,-,3791831,3795856,NA,NA,4025,NA,NA
SPAC1556.02c ,chromosome1,-,3796400,3798446,3796331,3798478,2046,69,32
SPAC1556.03,chromosome1,+,3799244,3800241,3799025,NA,997,219,NA
SPAC1556.04c ,chromosome1,-,3800313,3800938,3800292,3801068,625,21,130
SPAC1556.05c ,chromosome1,-,3801248,3801717,3801229,3801717,469,19,0
SPAC1556.06.1,chromosome1,+,3802551,3804954,NA,NA,2403,NA,NA
SPAC1556.06.2,chromosome1,+,3804582,3804954,NA,NA,372,NA,NA
SPAC1556.07,chromosome1,+,3805844,3806849,3805798,3806951,1005,46,102
SPAC1556.08c,chromosome1,-,3807447,3808670,3807221,3808706,1223,226,36
SPAC1565.01,chromosome1,+,1291278,1292006,1290971,1293449,728,307,1443
SPAC1565.02c ,chromosome1,-,1292617,1293803,1292457,1293887,1186,160,84
SPAC1565.03,chromosome1,+,1294483,1294983,1294381,1295317,500,102,334
SPAC1565.04c,chromosome1,-,1295558,1296510,1295537,1296580,952,21,70
SPAC1565.05,chromosome1,+,1297390,1299711,1297186,1299711,2321,204,0
SPAC1565.06c,chromosome1,-,1300144,1301018,1299825,1301091,874,319,73
SPAC1565.07c ,chromosome1,-,1301917,1305617,1301696,1305712,3700,221,95
SPAC1565.08,chromosome1,+,1306439,1308942,1306439,1309121,2503,0,179
SPAC15A10.01,chromosome1,+,3675526,3677607,3675055,3677704,2081,471,97
SPAC15A10.02 ,chromosome1,+,3678085,3679437,3678025,3679955,1352,60,518
SPAC15A10.03c,chromosome1,-,3680587,3683145,3680502,3683145,2558,85,0
SPAC15A10.04c ,chromosome1,-,3683722,3685101,3683690,3685345,1379,32,244
SPAC15A10.05c,chromosome1,-,3685760,3686721,3685727,3686777,961,33,56
SPAC15A10.06 ,chromosome1,+,3689230,3691125,NA,NA,1895,NA,NA
SPAC15A10.07,chromosome1,+,3691307,3691879,NA,NA,572,NA,NA
SPAC15A10.08,chromosome1,+,3692835,3694891,3692824,3694971,2056,11,80
SPAC15A10.09c ,chromosome1,-,3695162,3696028,3695132,3696399,866,30,371
SPAC15A10.10 ,chromosome1,+,3697508,3699837,NA,NA,2329,NA,NA
SPAC15A10.11 ,chromosome1,+,3702795,3708953,3702508,3708996,6158,287,43
SPAC15A10.12c,chromosome1,-,3709206,3709804,NA,NA,598,NA,NA
SPAC15A10.13,chromosome1,+,3711546,3713760,3711522,3713830,2214,24,70
SPAC15A10.15,chromosome1,+,3714187,3716313,3714161,3716472,2126,26,159
SPAC15A10.16,chromosome1,+,3716806,3720963,3716643,3721753,4157,163,790
SPAC15E1.02c,chromosome1,-,3721310,3721756,NA,NA,446,NA,NA
SPAC15E1.03,chromosome1,+,3722509,3723019,3722471,3723019,510,38,0
SPAC15E1.04 ,chromosome1,+,3723833,3725710,3723794,3725714,1877,39,4
SPAC15E1.05c ,chromosome1,-,3725922,3727074,3725875,3727255,1152,47,181
SPAC15E1.06,chromosome1,+,3727463,3728104,3727360,3728136,641,103,32
SPAC15E1.07c,chromosome1,-,3728516,3729034,NA,NA,518,NA,NA
SPAC15E1.08 ,chromosome1,+,3729807,3730991,3729787,3730991,1184,20,0
SPAC15E1.09,chromosome1,+,3731271,3731981,3731102,NA,710,169,NA
SPAC15E1.10,chromosome1,+,3732443,3733240,NA,NA,797,NA,NA
SPAC15F9.01c,chromosome1,-,2397450,2398188,NA,NA,738,NA,NA
