Chrom,Strand,Internal ID,Feature class Level 1,Gene Class level 2,Husinga 2004 Gene Class,Systematic ID,Common Name,SGD_Start,SGD_End,SGD_Left,SGD_Right,SGD_Length,Experiment_ID,Experiment_Start,Experiment_End,Experiment_Left,Experiment_Right,Experiment_Length,NFR/NDR_Start,NFR/NDR_End,NFR/NDR_Left,NFR/NDR_Right,"NFR/NDR_Dyad-to-Dyad_Length (""9999"" denotes imputed dyad location)",NFR/NDR_Midpoint,Sector_Start,Sector_End,Sector_Left,Sector_Right,Reference Binding Event for Promoter,REF,REF_Coor,REF_type,REF_strand,STM_YPD,SAGA_HS,TF,Cofactor,Bound TF motif,"Consolidated TF
(motif or CX that overlaps Cofactor peak)","Sua7 count
(11743)","Ssl2 count
(11747)","Tfg1 count
(12099)","Tfa1 count
(12101)","Toa1 count
(17053)","Kin28 count
(17983)","Taf2 count
(11846)",PlusOne_Dyad,PlusOne_ID,Median Occupancy,Median Variance,MinusOne_Dyad,MinusOne_ID,Median Occupancy,Median Variance,"MinusOne
Stability (from Kubik Mol Cell 215 (https://doi.org/1.116/j.molcel.215.1.2))",Head_assoc,Distance,ClosestID,ClosestID_rankorder,ClosestID_coor,ClosestID_Strand,Head_Assoc_Type,ClosestID_orientation,Tail_assoc,Distance,ClosestID,ClosestID_rankorder,ClosestID_coor,ClosestID_Strand,Tail_Assoc_Type,ClosestID_orientation,TATA_type,TATA left,TATA right,"Fragile vs Stable ""-1"" nucleosomes from Kubik Mol Cell 2015 (https://doi.org/10.1016/j.molcel.2015.10.002)",GO (Gene Ontology) description
chr8,+,10011,01_RP,01_RP,RP,YHL015W,RPS20,75412,75777,75412,75777,365,ST1402,75372,76069,75372,76069,697,74997,75429,74997,75429,432,75213,74997,76169,74997,76169,Fhl1_8944_Motif_1_chr8_75176_75176_-,Fhl1,75176,Motif,-,Sgf73_CX_chr8_75158_75159,.,Fhl1_CX_chr8_75177_75178,Ifh1_CX_chr8_75266_75267,Fhl1_8944_Motif_1_chr8_75176_75176_-,,3889,2500,2923,2156,1984,1066,2593,75429,nuc_chr8-75429,135.9157331,45.31044678,74997,nuc_chr8-74997,136.1943637,39.11832794,fragile,H_H,331,H_YHL016C,20889,75041,-,H,Divergent,T_T,43,T_YHL014C,40933,76112,-,T,Divergent,TATA_like,75403,75411,fragile,RPS20_Protein component of the small (40S) ribosomal subunit_YHL015W|uS10|S10|URP2|ribosomal 40S subunit protein S20_S0001007
chr12,+,10012,01_RP,01_RP,RP,YLR167W,RPS31,498947,499405,498947,499405,458,ST2253,498862,499559,498862,499559,697,498112,498862,498112,498862,9999,498487,498112,499659,498112,499659,Rap1_15258_Motif_1_chr12_498679_498679_+,Rap1,498679,Motif,+,Sgf73_CX_chr12_498756_498757,.,Fhl1_CX_chr12_498766_498767,Ifh1_CX_chr12_498761_498762,Rap1_15258_Motif_1_chr12_498679_498679_+,,7512,5229,4272,3710,3158,1838,2368,,, , ,,, , ,fragile,X_H,121,T_XUT_12F-193,110130,498741,+,T,Tandem,T_X,763,T_YLR170C,30226,500322,-,T,Divergent,TATA_like,498816,498824,fragile,RPS31_Fusion protein cleaved to yield ribosomal protein S31 and ubiquitin_YLR167W|RPS37|UBI3|S31|S37|eS31|YS24|S31e|UB13|ubiquitin-ribosomal 40S subunit protein S31 fusion protein_S0004157
chr13,-,10013,01_RP,01_RP,RP,YMR121C,RPL15B,510348,509734,509734,510348,614,ST6283,510406,509709,509709,510406,697,510637,510328,510328,510637,309,510483,510637,509609,509609,510637,Reb1_12467_Motif_1_chr13_510503_510503_+,Reb1,510503,Motif,+,.,.,Reb1_CX_chr13_510503_510504,.,Reb1_12467_Motif_1_chr13_510503_510503_+,,710,509,670,494,292,317,393,510328,nuc_chr13-510328,140.1538322,39.65725885,510637,nuc_chr13-510637,69.64565182,41.5294972,stable,H_H,171,H_SUT306,100169,510577,+,H,Divergent,T_X,375,H_YMR120C,31168,509334,-,H,Tandem, , , ,stable,"RPL15B_Ribosomal 60S subunit protein L15B_YMR121C|L13B|L15B|YL10|rp15R|L15e|eL15|ribosomal 60S subunit protein L15B_{Homologous Gene Pair = YLR029C, RPL15A, 0.99}_S0004728"
chr6,-,10014,01_RP,01_RP,RP,YFR032C-A,RPL29,223437,223258,223258,223437,179,ST4722,223865,223160,223160,223865,705,224257,223738,223738,224257,519,223998,224257,223060,223060,224257,Rap1_15258_Motif_1_chr6_224062_224062_-,Rap1,224062,Motif,-,Sgf11_CX_chr6_223956_223957,Spt7HS_chr6_223947_223948,Fhl1_CX_chr6_223952_223953,Ifh1_CX_chr6_223952_223953,Rap1_15258_Motif_1_chr6_224062_224062_-,,4752,3135,2563,2084,2037,1097,1638,223738,nuc_chr6-223738,154.7844762,31.08945269,224257,nuc_chr6-224257,65.45984823,28.33582191,fragile,X_H,178,H_YFR032C-B,30027,224043,-,H,Tandem,T_X,131,H_YFR032C,30412,223029,-,H,Tandem,TATA_like,223843,223851,fragile,RPL29_Ribosomal 60S subunit protein L29_YFR032C-A|L29|YL43|L29e|eL29|ribosomal 60S subunit protein L29_S0006437
chr10,+,10015,01_RP,01_RP,RP,YJL189W,RPL39,75933,76474,75933,76474,541,ST1711,75897,76610,75897,76610,713,75147,75897,75147,75897,9999,75522,75147,76710,75147,76710,Rap1_15258_Motif_1_chr10_75565_75565_-,Rap1,75565,Motif,-,Ada2_CX_chr10_75566_75567,.,Fhl1_CX_chr10_75664_75665,Ada2_CX_chr10_75566_75567,Rap1_15258_Motif_1_chr10_75565_75565_-,,4074,2657,2813,2061,1912,1181,1847,,, , ,,, , ,fragile,H_H,99,H_SUT617,100029,75798,-,H,Divergent,T_T,3,T_YJL187C,20846,76613,-,T,Divergent,TATA_like,75833,75841,fragile,RPL39_Ribosomal 60S subunit protein L39_YJL189W|YL40|L39|L46|RPL46|SPB2|L39e|eL39|ribosomal 60S subunit protein L39_S0003725
chr10,-,10016,01_RP,01_RP,RP,YJL190C,RPS22A,75302,74910,74910,75302,392,ST5391,75382,74669,74669,75382,713,75711,75262,75262,75711,449,75487,75711,74569,74569,75711,Rap1_15258_Motif_1_chr10_75565_75565_-,Rap1,75565,Motif,-,Ada2_CX_chr10_75566_75567,.,Fhl1_CX_chr10_75664_75665,Ada2_CX_chr10_75566_75567,Rap1_15258_Motif_1_chr10_75565_75565_-,,5066,3734,3429,2835,2223,1509,1413,75262,nuc_chr10-75262,144.60654,38.91372919,75711,nuc_chr10-75711,55.32618737,40.81666523,fragile,X_H,175,T_SUT617,100029,75557,-,T,Tandem,T_X,916,H_YJL191W,10070,73753,+,H,Divergent,TATA_box,75328,75336,fragile,RPS22A_Protein component of the small (40S) ribosomal subunit_YJL190C|S22A|S24A|YS22|rp50|RPS24|S8|uS8|ribosomal 40S subunit protein S22A_S0003726
chr12,-,10017,01_RP,01_RP,RP,YLR325C,RPL38,781379,781143,781143,781379,236,ST6058,781419,780706,780706,781419,713,781816,781419,781419,781816,397,781618,781816,780606,780606,781816,Fhl1_8944_Motif_1_chr12_781661_781661_+,Fhl1,781661,Motif,+,Sgf73_CX_chr12_781661_781662,Spt7HS_chr12_781652_781653,Fhl1_CX_chr12_781659_781660,Ifh1_CX_chr12_781658_781659,Fhl1_8944_Motif_1_chr12_781661_781661_+,,3889,2473,2465,1966,1514,1101,1380,,, , ,781816,nuc_chr12-781816,105.3957582,33.73709053,fragile,X_H,547,H_YLR326W,40713,781966,+,H,Divergent,T_X,1556,H_YLR324W,41542,779150,+,H,Divergent,TATA_like,781438,781446,fragile,RPL38_Ribosomal 60S subunit protein L38_YLR325C|L38|L38e|eL38|ribosomal 60S subunit protein L38_S0004317
chr7,+,10018,01_RP,01_RP,RP,YGL030W,RPL30,439091,439638,439091,439638,547,ST1184,438997,439718,438997,439718,721,438320,439070,438320,439070,9999,438695,438320,439818,438320,439818,Hmo1_12836_Motif_1_chr7_438615_438615_-,Hmo1,438615,Motif,-,Ada2_CX_chr7_438631_438632,.,Fhl1_CX_chr7_438660_438661,Ada2_CX_chr7_438631_438632,Hmo1_12836_Motif_1_chr7_438615_438615_-,,6834,4882,4689,3932,3094,2071,2136,439070,nuc_chr7-439070,80.83405586,44.16938108,,, , ,fragile,H_H,547,H_YGL031C,10102,438450,-,H,Divergent,T_T,43,T_CUT601,90401,439761,-,T,Divergent,TATA_like,438999,439007,fragile,RPL30_Ribosomal 60S subunit protein L30_YGL030W|L30|L32|YL38|rp73|L30e|ribosomal 60S subunit protein L30|eL30_S0002998
chr16,-,10019,01_RP,01_RP,RP,YPR102C,RPL11A,731748,731224,731224,731748,524,ST7206,731889,731168,731168,731889,721,732329,731889,731889,732329,440,732109,732329,731068,731068,732329,Rap1_15258_Motif_1_chr16_732110_732110_+,Rap1,732110,Motif,+,Sgf73_CX_chr16_732018_732019,.,Fhl1_CX_chr16_732013_732014,Eaf5_CX_chr16_732020_732021,Rap1_15258_Motif_1_chr16_732110_732110_+,,3929,2689,2142,1712,1684,1013,1178,,, , ,732329,nuc_chr16-732329,53.52745836,36.79676909,fragile,H_H,355,H_YPR103W,20313,732244,+,H,Divergent,T_X,692,H_YPR101W,30188,730476,+,H,Divergent,TATA_like,731811,731819,fragile,"RPL11A_Ribosomal 60S subunit protein L11A_YPR102C|L11A|L16B|L5|YL22|rp39A|uL5|ribosomal 60S subunit protein L11A_{Homologous Gene Pair = YGR085C, RPL11B, 0.99}_S0006306"
chr7,-,10020,01_RP,01_RP,RP,YGR085C,RPL11B,648907,648383,648383,648907,524,ST4931,648979,648242,648242,648979,737,649311,648904,648904,649311,407,649108,649311,648142,648142,649311,Rap1_15258_Motif_1_chr7_649139_649139_-,Rap1,649139,Motif,-,Sgf73_CX_chr7_648981_648982,.,Fhl1_CX_chr7_649052_649053,Ifh1_CX_chr7_649050_649051,Rap1_15258_Motif_1_chr7_649139_649139_-,,7048,4626,5179,4443,3117,2369,2278,648904,nuc_chr7-648904,95.77095073,37.31353732,649311,nuc_chr7-649311,153.2136247,38.08988533,stable,X_H,287,T_YGR086C,41262,649266,-,T,Tandem,T_X,151,H_YGR084C,30451,648091,-,H,Tandem,TATA_like,648962,648970,stable,"RPL11B_Ribosomal 60S subunit protein L11B_YGR085C|L11B|L16A|L5|YL22|rp39B|uL5|ribosomal 60S subunit protein L11B_{Homologous Gene Pair = YPR102C, RPL11A, 0.99}_S0003317"
chr7,-,10021,01_RP,01_RP,RP,YGL147C,RPL9A,228329,227754,227754,228329,575,ST4802,228378,227633,227633,228378,745,228799,228294,228294,228799,505,228547,228799,227533,227533,228799,Rap1_15258_Motif_1_chr7_228635_228635_+,Rap1,228635,Motif,+,Sgf73_CX_chr7_228544_228545,.,Fhl1_CX_chr7_228554_228555,Ifh1_CX_chr7_228537_228538,Rap1_15258_Motif_1_chr7_228635_228635_+,,3213,2139,2276,1752,1625,986,1303,228294,nuc_chr7-228294,126.1174284,38.94391561,228799,nuc_chr7-228799,79.21446736,42.28014125,fragile,X_H,451,H_CUT133,90388,228829,+,H,Divergent,T_T,11,T_YGL148W,30668,227622,+,T,Divergent, , , ,fragile,RPL9A_Ribosomal 60S subunit protein L9A_YGL147C|L8A|L9A|YL11|rp24|L6|uL6|ribosomal 60S subunit protein L9A_S0003115
chr15,+,10022,01_RP,01_RP,RP,YOL039W,RPP2A,254297,254617,254297,254617,320,ST3052,254098,254867,254098,254867,769,253348,254098,253348,254098,9999,253723,253348,254967,253348,254967,Rap1_15258_Motif_1_chr15_253953_253953_+,Rap1,253953,Motif,+,Sgf73_CX_chr15_253952_253953,.,Fhl1_CX_chr15_253879_253880,Ifh1_CX_chr15_254073_254074,Rap1_15258_Motif_1_chr15_253953_253953_+,,1588,1054,1101,797,1018,512,985,,, , ,,, , ,fragile,X_H,97,T_XUT_15F-116,110028,254001,+,T,Tandem,T_T,51,T_YOL038C-A,40001,254918,-,T,Divergent,TATA_like,254214,254222,fragile,RPP2A_Ribosomal protein P2 alpha_YOL039W|RPL44|RPLA2|P2A|ribosomal protein P2A_S0005399
chr4,-,10023,01_RP,01_RP,RP,YDR500C,RPL37B,1450853,1450198,1450198,1450853,655,ST4453,1450889,1450104,1450104,1450889,785,1451248,1450889,1450889,1451248,359,1451069,1451248,1450004,1450004,1451248,Swi4_13786_Motif_1_chr4_1451137_1451137_-,Swi4,1451137,Motif,-,Sgf11_CX_chr4_1450972_1450973,.,Fhl1_CX_chr4_1451014_1451015,Nrm1_CX_chr4_1451170_1451171,Swi4_13786_Motif_1_chr4_1451137_1451137_-,,3810,2320,3099,2376,1717,1089,2346,,, , ,1451248,nuc_chr4-1451248,147.5670217,38.78604302,fragile,H_H,347,H_YDR501W,20613,1451236,+,H,Divergent,T_X,2292,H_YDR499W,41932,1447812,+,H,Divergent,TATA_like,1450919,1450927,fragile,"RPL37B_Ribosomal 60S subunit protein L37B_YDR500C|L37B|L43|YL35|L37e|eL37|ribosomal 60S subunit protein L37B_{Homologous Gene Pair = YLR185W, RPL37A, 0.93}_S0002908"
chr16,+,10024,01_RP,01_RP,RP,YPL220W,RPL1A,135790,136443,135790,136443,653,ST3363,135753,136546,135753,136546,793,135456,135816,135456,135816,360,135636,135456,136646,135456,136646,Sut1_11997_Motif_3_chr16_135627_135627_+,Sut1,135627,Motif,+,Sut1_CX_chr16_135630_135631,.,Rap1_CX_chr16_135630_135631,Nhp6a_CX_chr16_135627_135628,Sut1_11997_Motif_3_chr16_135627_135627_+,,2229,1437,1732,1400,1002,745,949,135816,nuc_chr16-135816,112.4972074,32.56489334,135456,nuc_chr16-135456,92.58549387,39.66652439,stable,X_H,159,T_YPL221W,20851,135594,+,T,Tandem,T_X,175,H_YPL219W,41206,136721,+,H,Tandem,TATA_like,135755,135763,stable,"RPL1A_Ribosomal 60S subunit protein L1A_YPL220W|L1A|SSM1|PUB2|L1|uL1|ribosomal 60S subunit protein L1A_{Homologous Gene Pair = YGL135W, RPL1B, 1}_S0006141"
chr10,+,10025,01_RP,01_RP,RP,YJR094W-A,RPL43B,608305,608858,608305,608858,553,ST1870,608195,608996,608195,608996,801,607907,608317,607907,608317,410,608112,607907,609096,607907,609096,Abf1_15254_Motif_1_chr10_608118_608118_+,Abf1,608118,Motif,+,.,.,Abf1_CX_chr10_608118_608119,.,Abf1_15254_Motif_1_chr10_608118_608118_+,,3226,1968,1892,1527,1497,837,1210,608317,nuc_chr10-608317,94.74213094,42.98769557,607907,nuc_chr10-607907,122.5992357,33.94067154,fragile,X_H,757,H_XUT_10R-233,110345,607438,-,H,Divergent,T_X,607,H_YJR095W,41209,609603,+,H,Tandem,TATA_like,608221,608229,fragile,"RPL43B_Ribosomal 60S subunit protein L43B_YJR094W-A|L43B|L43e|eL43|ribosomal 60S subunit protein L43B_{Homologous Gene Pair = YPR043W, RPL43A, 1}_S0003855"
chr12,+,10026,01_RP,01_RP,RP,YLR185W,RPL37A,522663,523288,522663,523288,625,ST2262,522590,523399,522590,523399,809,522407,522711,522407,522711,304,522559,522407,523499,522407,523499,Hmo1_CX_chr12_522413_522414,Hmo1,522413,CX,.,.,.,Hmo1_CX_chr12_522413_522414,Eaf6_CX_chr12_522409_522410,.,,4822,3108,3153,2500,1912,1112,2297,522711,nuc_chr12-522711,82.591732,40.89166632,522407,nuc_chr12-522407,53.01616512,36.39251367,fragile,X_H,435,H_YLR183C,20583,522155,-,H,Divergent,T_X,175,H_YLR186W,30353,523574,+,H,Tandem,TATA_like,522579,522587,fragile,"RPL37A_Ribosomal 60S subunit protein L37A_YLR185W|L37A|L43|YL35|L37e|eL37|ribosomal 60S subunit protein L37A_{Homologous Gene Pair = YDR500C, RPL37B, 0.93}_S0004175"
chr5,-,10027,01_RP,01_RP,RP,YEL054C,RPL12A,53218,52721,52721,53218,497,ST4502,53293,52484,52484,53293,809,54071,53160,53160,54071,911,53616,54071,52384,52384,54071,Fhl1_8944_Motif_1_chr5_53740_53740_+,Fhl1,53740,Motif,+,Sgf73_CX_chr5_53563_53564,.,Fhl1_CX_chr5_53475_53476,Ifh1_CX_chr5_53564_53565,Fhl1_8944_Motif_1_chr5_53740_53740_+,,4099,2504,2960,2217,1781,1200,1464,53160,nuc_chr5-53160,115.1340037,43.01281256,54071,nuc_chr5-54071,,,stable,X_H,519,T_YEL053C,41965,53812,-,T,Tandem,T_X,164,H_snR80,120059,52320,-,H,Tandem,TATA_like,53337,53345,stable,"RPL12A_Ribosomal 60S subunit protein L12A_YEL054C|L12A|L15A|YL23|uL11|L11|ribosomal 60S subunit protein L12A_{Homologous Gene Pair = YDR418W, RPL12B, 1}_S0000780"
chr4,+,10028,01_RP,01_RP,RP,YDL130W,RPP1B,229906,230527,229906,230527,621,ST0417,229808,230625,229808,230625,817,229058,229808,229058,229808,9999,229433,229058,230725,229058,230725,Rap1_15258_Motif_1_chr4_229636_229636_+,Rap1,229636,Motif,+,Sgf73_CX_chr4_229712_229713,.,Fhl1_CX_chr4_229718_229719,Ifh1_CX_chr4_229720_229721,Rap1_15258_Motif_1_chr4_229636_229636_+,,4717,3085,3643,2861,2184,1559,1895,,, , ,,, , ,stable,X_H,215,T_YDL130W-A,30057,229593,+,T,Tandem,T_X,271,H_YDL129W,20388,230896,+,H,Tandem,TATA_like,229829,229837,stable,RPP1B_Ribosomal protein P1 beta_YDL130W|RPL44'|RPLA3|Ax|L44'|P1B|YP1beta|ribosomal protein P1B_S0002288
